,Similar_metric,DTW
p100_ResNet50_batchsize16_datasize256_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize128_datasize224_total_epoch10_totaldata2000,1.4454056737791818
p100_ResNet50_batchsize16_datasize128_total_epoch10_totaldata5000,g5_InceptionResNetV2_batchsize128_datasize224_total_epoch10_totaldata2000,0.6956656077785314
p100_ResNet50_batchsize128_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,1.0867550034454403
p100_ResNet50_batchsize64_datasize256_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,1.4410630129769255
p100_ResNet50_batchsize32_datasize224_total_epoch10_totaldata2000,p3_InceptionV3_batchsize32_datasize128_total_epoch10_totaldata5000,0.7809602849587979
p100_ResNet50_batchsize32_datasize64_total_epoch10_totaldata5000,g5_ResNet50_batchsize16_datasize64_total_epoch10_totaldata5000,3.3176006255349457
p100_ResNet50_batchsize32_datasize256_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,1.1727015955253564
p100_InceptionResNetV2_batchsize64_datasize256_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,2.9422796587710005
p100_InceptionResNetV2_batchsize128_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,3.231472181918233
p100_InceptionResNetV2_batchsize64_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,6.043422852261572
p100_InceptionResNetV2_batchsize64_datasize224_total_epoch10_totaldata2000,g5_LeNet5_batchsize256_datasize64_total_epoch10_totaldata5000,10.909878850117046
p100_InceptionResNetV2_batchsize16_datasize256_total_epoch10_totaldata2000,g4dn_InceptionResNetV2_batchsize256_datasize128_total_epoch10_totaldata5000,1.038920208684652
p100_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,2.6786681123049436
p100_InceptionResNetV2_batchsize16_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize16_datasize128_total_epoch10_totaldata5000,0.8759383058358975
p100_InceptionResNetV2_batchsize256_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize16_datasize256_total_epoch10_totaldata2000,6.47405741776186
p100_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,0.5812873405328648
p100_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,1.2960670384596409
p100_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize16_datasize256_total_epoch10_totaldata2000,2.772703592127294
p100_InceptionResNetV2_batchsize128_datasize224_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize64_datasize128_total_epoch10_totaldata5000,4.761846621047872
p100_LeNet5_batchsize256_datasize64_total_epoch10_totaldata5000,g5_MNIST_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,0.7045963748477545
p100_LeNet5_batchsize128_datasize224_total_epoch10_totaldata2000,p3_LeNet5_batchsize128_datasize128_total_epoch10_totaldata5000,2.1401534006517378
p100_LeNet5_batchsize32_datasize128_total_epoch10_totaldata5000,p3_LeNet5_batchsize32_datasize224_total_epoch10_totaldata2000,1.734411378405669
p100_LeNet5_batchsize64_datasize224_total_epoch10_totaldata2000,p3_LeNet5_batchsize64_datasize256_total_epoch10_totaldata2000,3.9523979380468215
p100_LeNet5_batchsize256_datasize32_total_epoch10_totaldata50000,p3_ResNetSmall_batchsize64_datasize224_total_epoch10_totaldata2000,1.4061271627326757
p100_LeNet5_batchsize128_datasize64_total_epoch10_totaldata5000,g5_LeNet5_batchsize64_datasize128_total_epoch10_totaldata5000,1.287216002857011
p100_LeNet5_batchsize32_datasize32_total_epoch10_totaldata50000,g5_CIFAR10_CNN_batchsize32_datasize32_total_epoch10_totaldata50000,6.8534649420853215
p100_LeNet5_batchsize16_datasize256_total_epoch10_totaldata2000,p3_AlexNet_batchsize128_datasize64_total_epoch10_totaldata5000,4.580670992417142
p100_LeNet5_batchsize16_datasize32_total_epoch10_totaldata50000,p3_VGG19_batchsize32_datasize224_total_epoch10_totaldata2000,0.7351692462387073
p100_LeNet5_batchsize64_datasize64_total_epoch10_totaldata5000,p3_LeNet5_batchsize128_datasize128_total_epoch10_totaldata5000,1.0490026005586208
p100_LeNet5_batchsize32_datasize64_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize32_datasize64_total_epoch10_totaldata5000,2.667944414427493
p100_LeNet5_batchsize64_datasize32_total_epoch10_totaldata50000,g5_LeNet5_batchsize64_datasize64_total_epoch10_totaldata5000,13.112206494219642
p100_LeNet5_batchsize128_datasize256_total_epoch10_totaldata2000,g5_LeNet5_batchsize64_datasize224_total_epoch10_totaldata2000,4.62317689845153
p100_LeNet5_batchsize256_datasize128_total_epoch10_totaldata5000,g5_LeNet5_batchsize256_datasize256_total_epoch10_totaldata2000,1.684517409727064
p100_LeNet5_batchsize32_datasize256_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize256_datasize224_total_epoch10_totaldata2000,4.274447737675379
p100_LeNet5_batchsize16_datasize128_total_epoch10_totaldata5000,g5_ResNetSmall_batchsize128_datasize256_total_epoch10_totaldata2000,4.137616987701676
p100_LeNet5_batchsize64_datasize128_total_epoch10_totaldata5000,p3_LeNet5_batchsize16_datasize224_total_epoch10_totaldata2000,1.7796388227752382
p100_LeNet5_batchsize32_datasize224_total_epoch10_totaldata2000,p3_LeNet5_batchsize32_datasize224_total_epoch10_totaldata2000,1.7378132832137565
p100_LeNet5_batchsize64_datasize256_total_epoch10_totaldata2000,p3_LeNet5_batchsize128_datasize256_total_epoch10_totaldata2000,4.142333152248195
p100_LeNet5_batchsize128_datasize32_total_epoch10_totaldata50000,g4dn_MNIST_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,9.210084086622675
p100_LeNet5_batchsize16_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize64_datasize256_total_epoch10_totaldata2000,6.8329273587067725
p100_LeNet5_batchsize256_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize256_datasize256_total_epoch10_totaldata2000,3.000544089820018
p100_LeNet5_batchsize128_datasize128_total_epoch10_totaldata5000,p3_CIFAR10_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,1.3386151571095157
p100_LeNet5_batchsize16_datasize64_total_epoch10_totaldata5000,g4dn_MNIST_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,6.143388980626803
p100_LeNet5_batchsize256_datasize256_total_epoch10_totaldata2000,p3_LeNet5_batchsize256_datasize128_total_epoch10_totaldata5000,4.513355091590288
p100_ResNetSmall_batchsize64_datasize128_total_epoch10_totaldata5000,p3_ResNetSmall_batchsize128_datasize128_total_epoch10_totaldata5000,2.2697476729966497
p100_ResNetSmall_batchsize128_datasize224_total_epoch10_totaldata2000,p3_LeNet5_batchsize64_datasize256_total_epoch10_totaldata2000,3.5935876608416653
p100_ResNetSmall_batchsize32_datasize224_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,7.01459755114301
p100_ResNetSmall_batchsize16_datasize256_total_epoch10_totaldata2000,p3_MNIST_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,3.026527331376096
p100_ResNetSmall_batchsize64_datasize224_total_epoch10_totaldata2000,p3_LeNet5_batchsize64_datasize256_total_epoch10_totaldata2000,3.650437203075452
p100_ResNetSmall_batchsize16_datasize128_total_epoch10_totaldata5000,g4dn_MNIST_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,3.995161129871813
